Location,Dim1,Value
Andorra,"Infectious, parasitic, neonatal and nutritional",0
Monaco,"Infectious, parasitic, neonatal and nutritional",0
Niue,"Infectious, parasitic, neonatal and nutritional",0
Niue,Injuries,0
San Marino,"Infectious, parasitic, neonatal and nutritional",0
Cook Islands,"Infectious, parasitic, neonatal and nutritional",1
Nauru,"Infectious, parasitic, neonatal and nutritional",1
Nauru,Injuries,1
Niue,Total,1
Niue,Noncommunicable diseases,1
Montenegro,Noncommunicable diseases,1 006
Republic of Korea,"Infectious, parasitic, neonatal and nutritional",1 018
Mauritius,Total,1 027
Republic of Moldova,Injuries,1 029
Kyrgyzstan,Injuries,1 034
Lesotho,Injuries,1 048
Montenegro,Total,1 077
Greece,Injuries,1 103
Mauritania,Injuries,1 106
France,"Infectious, parasitic, neonatal and nutritional",1 115
Guyana,Total,1 130
Libya,Injuries,1 135
Equatorial Guinea,"Infectious, parasitic, neonatal and nutritional",1 153
Jordan,Injuries,1 176
Namibia,Noncommunicable diseases,1 183
Lesotho,Noncommunicable diseases,1 187
Nicaragua,Injuries,1 205
Guinea-Bissau,Noncommunicable diseases,1 208
Kuwait,Total,1 229
Honduras,"Infectious, parasitic, neonatal and nutritional",1 242
Syrian Arab Republic,"Infectious, parasitic, neonatal and nutritional",1 242
Liberia,Injuries,1 243
Bhutan,Total,1 259
Eswatini,"Infectious, parasitic, neonatal and nutritional",1 277
Netherlands (Kingdom of the),Injuries,1 288
United Arab Emirates,Noncommunicable diseases,1 303
Trinidad and Tobago,Total,1 319
Czechia,Injuries,1 342
Botswana,"Infectious, parasitic, neonatal and nutritional",1 352
Djibouti,Total,1 409
Malaysia,"Infectious, parasitic, neonatal and nutritional",1 456
Paraguay,Injuries,1 460
Tajikistan,Injuries,1 504
Hungary,Injuries,1 507
Comoros,Total,1 508
Turkmenistan,Injuries,1 528
Belgium,Injuries,1 529
Panama,Noncommunicable diseases,1 578
Congo,Injuries,1 579
Sri Lanka,"Infectious, parasitic, neonatal and nutritional",1 591
Oman,Total,1 601
Gabon,"Infectious, parasitic, neonatal and nutritional",1 603
Germany,"Infectious, parasitic, neonatal and nutritional",1 630
Timor-Leste,Total,1 638
Chile,Injuries,1 683
Argentina,"Infectious, parasitic, neonatal and nutritional",1 715
Honduras,Injuries,1 722
Estonia,Noncommunicable diseases,1 756
India,Noncommunicable diseases,1 763 813
Tunisia,Injuries,1 766
Australia,Injuries,1 774
Peru,"Infectious, parasitic, neonatal and nutritional",1 800
Lao People's Democratic Republic,Injuries,1 823
Mauritania,Noncommunicable diseases,1 858
Gambia,"Infectious, parasitic, neonatal and nutritional",1 894
Estonia,Total,1 948
Ukraine,"Infectious, parasitic, neonatal and nutritional",1 966
Antigua and Barbuda,Injuries,10
Bahamas,"Infectious, parasitic, neonatal and nutritional",10
Barbados,"Infectious, parasitic, neonatal and nutritional",10
Tonga,"Infectious, parasitic, neonatal and nutritional",10
Haiti,Noncommunicable diseases,10 065
Cote d'Ivoire,Injuries,10 077
Egypt,Injuries,10 215
Azerbaijan,Noncommunicable diseases,10 221
Cuba,Noncommunicable diseases,10 323
Papua New Guinea,Total,10 356
Burkina Faso,Noncommunicable diseases,10 480
Portugal,Total,10 689
Viet Nam,"Infectious, parasitic, neonatal and nutritional",10 706
Tunisia,Total,10 952
Egypt,Total,101 806
Sao Tome and Principe,"Infectious, parasitic, neonatal and nutritional",105
Grenada,Total,106
Maldives,Noncommunicable diseases,108
Saint Vincent and the Grenadines,Total,108
Myanmar,Total,109 235
Japan,Noncommunicable diseases,109 401
Estonia,"Infectious, parasitic, neonatal and nutritional",11
Tuvalu,Total,11
Cambodia,Noncommunicable diseases,11 054
Congo,Total,11 078
Central African Republic,"Infectious, parasitic, neonatal and nutritional",11 093
Mali,Noncommunicable diseases,11 128
Tajikistan,Total,11 135
Chile,Total,11 282
Turkmenistan,Total,11 415
Belgium,Noncommunicable diseases,11 560
Georgia,Noncommunicable diseases,11 660
Senegal,"Infectious, parasitic, neonatal and nutritional",11 730
Benin,"Infectious, parasitic, neonatal and nutritional",11 815
Angola,Noncommunicable diseases,11 952
Suriname,Injuries,113
Bangladesh,Noncommunicable diseases,113 704
Costa Rica,"Infectious, parasitic, neonatal and nutritional",116
Pakistan,"Infectious, parasitic, neonatal and nutritional",117 630
Slovenia,"Infectious, parasitic, neonatal and nutritional",12
Azerbaijan,Total,12 040
Ukraine,Injuries,12 228
Georgia,Total,12 362
Mozambique,Noncommunicable diseases,12 524
Cameroon,Noncommunicable diseases,12 809
Ecuador,Total,12 825
Cuba,Total,12 931
Bulgaria,"Infectious, parasitic, neonatal and nutritional",120
Kiribati,Total,121
Ukraine,Noncommunicable diseases,121 104
Philippines,Total,123 459
Armenia,"Infectious, parasitic, neonatal and nutritional",124
Brunei Darussalam,Noncommunicable diseases,125
Brazil,Noncommunicable diseases,128 381
Viet Nam,Total,129 271
Cook Islands,Total,13
Dominica,Injuries,13
Seychelles,"Infectious, parasitic, neonatal and nutritional",13
Australia,Noncommunicable diseases,13 063
Afghanistan,Injuries,13 086
Bolivia (Plurinational State of),Total,13 222
Belgium,Total,13 286
Syrian Arab Republic,Noncommunicable diseases,13 440
Angola,Injuries,13 502
Zimbabwe,"Infectious, parasitic, neonatal and nutritional",13 869
Guatemala,Total,13 913
Japan,Total,131 278
Ukraine,Total,135 298
Serbia,"Infectious, parasitic, neonatal and nutritional",139
Palau,Total,14
Peru,Noncommunicable diseases,14 027
Saudi Arabia,Noncommunicable diseases,14 242
Czechia,Noncommunicable diseases,14 306
Yemen,Noncommunicable diseases,14 405
Cote d'Ivoire,Noncommunicable diseases,14 589
Venezuela (Bolivarian Republic of),Noncommunicable diseases,14 637
Netherlands (Kingdom of the),Noncommunicable diseases,14 655
Lao People's Democratic Republic,Total,14 911
Solomon Islands,Injuries,141
Republic of Moldova,"Infectious, parasitic, neonatal and nutritional",147
Bahamas,Noncommunicable diseases,148
Saint Lucia,Noncommunicable diseases,149
Australia,Total,15 061
Togo,Total,15 447
Mozambique,Injuries,15 597
Sierra Leone,"Infectious, parasitic, neonatal and nutritional",15 639
Czechia,Total,15 802
Madagascar,Noncommunicable diseases,15 908
Pakistan,Noncommunicable diseases,151 153
Ethiopia,Total,151 549
Belarus,"Infectious, parasitic, neonatal and nutritional",154
Czechia,"Infectious, parasitic, neonatal and nutritional",154
Samoa,Total,154
Vanuatu,Noncommunicable diseases,154
Singapore,Injuries,159
Maldives,"Infectious, parasitic, neonatal and nutritional",16
Netherlands (Kingdom of the),Total,16 128
Central African Republic,Total,16 138
Philippines,Injuries,16 177
Greece,Noncommunicable diseases,16 316
Guinea,"Infectious, parasitic, neonatal and nutritional",16 421
South Sudan,"Infectious, parasitic, neonatal and nutritional",16 421
Sudan,Injuries,16 457
Serbia,Noncommunicable diseases,16 520
Kenya,Injuries,16 541
Iceland,Noncommunicable diseases,160
Democratic Republic of the Congo,"Infectious, parasitic, neonatal and nutritional",163 548
Israel,"Infectious, parasitic, neonatal and nutritional",164
Maldives,Total,164
Brunei Darussalam,Total,167
Grenada,Injuries,17
Burundi,"Infectious, parasitic, neonatal and nutritional",17 019
Syrian Arab Republic,Total,17 036
Uganda,Noncommunicable diseases,17 422
Greece,Total,17 486
Bulgaria,Noncommunicable diseases,17 511
Serbia,Total,17 519
Malaysia,Noncommunicable diseases,17 740
Brazil,"Infectious, parasitic, neonatal and nutritional",17 793
Ghana,Noncommunicable diseases,17 886
Barbados,Noncommunicable diseases,170
Solomon Islands,"Infectious, parasitic, neonatal and nutritional",171
Georgia,"Infectious, parasitic, neonatal and nutritional",172
Portugal,"Infectious, parasitic, neonatal and nutritional",172
Cuba,"Infectious, parasitic, neonatal and nutritional",176
North Macedonia,Injuries,176
Belize,Total,177
San Marino,Noncommunicable diseases,18
Kenya,Noncommunicable diseases,18 122
Saudi Arabia,Total,18 393
Myanmar,Injuries,18 407
Madagascar,"Infectious, parasitic, neonatal and nutritional",18 499
Bulgaria,Total,18 555
Malawi,"Infectious, parasitic, neonatal and nutritional",18 688
Rwanda,Total,18 777
Sudan,Noncommunicable diseases,18 851
Estonia,Injuries,181
Netherlands (Kingdom of the),"Infectious, parasitic, neonatal and nutritional",185
Iceland,Total,186
Tonga,Injuries,19
Japan,Injuries,19 500
South Africa,Injuries,19 742
Belarus,Noncommunicable diseases,19 848
Zambia,"Infectious, parasitic, neonatal and nutritional",19 892
Saint Lucia,Total,190
Jamaica,"Infectious, parasitic, neonatal and nutritional",191
Brazil,Total,195 742
Belgium,"Infectious, parasitic, neonatal and nutritional",196
Guyana,"Infectious, parasitic, neonatal and nutritional",197
Bhutan,"Infectious, parasitic, neonatal and nutritional",198
Antigua and Barbuda,"Infectious, parasitic, neonatal and nutritional",2
Iceland,"Infectious, parasitic, neonatal and nutritional",2
Malta,"Infectious, parasitic, neonatal and nutritional",2
Nauru,Noncommunicable diseases,2
Palau,"Infectious, parasitic, neonatal and nutritional",2
Saint Kitts and Nevis,"Infectious, parasitic, neonatal and nutritional",2
Tuvalu,"Infectious, parasitic, neonatal and nutritional",2
Central African Republic,Injuries,2 025
Venezuela (Bolivarian Republic of),"Infectious, parasitic, neonatal and nutritional",2 038
Jamaica,Noncommunicable diseases,2 097
Equatorial Guinea,Total,2 106
Slovenia,Noncommunicable diseases,2 131
United Arab Emirates,Total,2 138
Costa Rica,Noncommunicable diseases,2 213
Eritrea,Injuries,2 214
Türkiye,"Infectious, parasitic, neonatal and nutritional",2 248
El Salvador,Injuries,2 345
Syrian Arab Republic,Injuries,2 354
Japan,"Infectious, parasitic, neonatal and nutritional",2 378
Eswatini,Total,2 388
Cuba,Injuries,2 432
Bolivia (Plurinational State of),"Infectious, parasitic, neonatal and nutritional",2 442
Dominican Republic,Injuries,2 444
Togo,Injuries,2 487
Slovenia,Total,2 499
Tajikistan,"Infectious, parasitic, neonatal and nutritional",2 499
Lesotho,"Infectious, parasitic, neonatal and nutritional",2 517
Colombia,"Infectious, parasitic, neonatal and nutritional",2 534
Uruguay,Noncommunicable diseases,2 588
China,Noncommunicable diseases,2 607 982
Papua New Guinea,Injuries,2 615
Liberia,Noncommunicable diseases,2 656
New Zealand,Noncommunicable diseases,2 713
Jamaica,Total,2 714
Panama,Total,2 729
Namibia,Total,2 730
Gabon,Total,2 803
Democratic People's Republic of Korea,"Infectious, parasitic, neonatal and nutritional",2 821
Congo,Noncommunicable diseases,2 840
Singapore,Noncommunicable diseases,2 873
Botswana,Total,2 905
India,Total,2 911 670
Guinea-Bissau,"Infectious, parasitic, neonatal and nutritional",2 940
Ireland,Noncommunicable diseases,2 944
Haiti,Injuries,2 973
China,Total,2 986 684
Monaco,Noncommunicable diseases,20
Saint Vincent and the Grenadines,Injuries,20
Iraq,Noncommunicable diseases,20 119
United Republic of Tanzania,Noncommunicable diseases,20 180
Uganda,Injuries,20 469
Hungary,Noncommunicable diseases,20 621
Haiti,Total,20 818
Senegal,Total,20 869
Bahamas,Total,201
Bangladesh,Total,201 534
Qatar,Injuries,202
Barbados,Total,204
Bahrain,"Infectious, parasitic, neonatal and nutritional",21
Marshall Islands,"Infectious, parasitic, neonatal and nutritional",21
Samoa,"Infectious, parasitic, neonatal and nutritional",21
Cambodia,Total,21 012
Peru,Total,21 123
United Republic of Tanzania,Injuries,21 216
Myanmar,"Infectious, parasitic, neonatal and nutritional",21 584
Thailand,Injuries,21 924
Belize,"Infectious, parasitic, neonatal and nutritional",22
Qatar,"Infectious, parasitic, neonatal and nutritional",22
San Marino,Total,22
Ghana,"Infectious, parasitic, neonatal and nutritional",22 146
Hungary,Total,22 218
Canada,Noncommunicable diseases,22 225
Morocco,Noncommunicable diseases,22 244
Benin,Total,22 316
Philippines,"Infectious, parasitic, neonatal and nutritional",22 391
Afghanistan,Noncommunicable diseases,22 490
Mexico,Injuries,22 691
Colombia,Noncommunicable diseases,22 795
Fiji,Injuries,222
Australia,"Infectious, parasitic, neonatal and nutritional",224
Suriname,Noncommunicable diseases,225
Mauritius,Injuries,229
Barbados,Injuries,23
Malta,Injuries,23
Iran (Islamic Republic of),Injuries,23 492
Viet Nam,Injuries,23 578
Belarus,Total,23 809
Somalia,"Infectious, parasitic, neonatal and nutritional",23 833
Sao Tome and Principe,Total,231
Sweden,"Infectious, parasitic, neonatal and nutritional",236
United States of America,Noncommunicable diseases,236 052
Iceland,Injuries,24
Marshall Islands,Noncommunicable diseases,24
Micronesia (Federated States of),"Infectious, parasitic, neonatal and nutritional",24
Monaco,Total,24
North Macedonia,"Infectious, parasitic, neonatal and nutritional",24
Burkina Faso,"Infectious, parasitic, neonatal and nutritional",24 035
Sierra Leone,Total,24 370
Algeria,Noncommunicable diseases,24 914
Kazakhstan,Noncommunicable diseases,24 996
Vanuatu,Total,241
Indonesia,Noncommunicable diseases,247 738
Democratic Republic of the Congo,Total,247 832
Venezuela (Bolivarian Republic of),Total,25 902
Malaysia,Total,25 941
Kuwait,Injuries,255
Latvia,"Infectious, parasitic, neonatal and nutritional",26
Micronesia (Federated States of),Injuries,26
Sri Lanka,Noncommunicable diseases,26 274
Canada,Total,26 343
Zimbabwe,Total,26 394
Chile,"Infectious, parasitic, neonatal and nutritional",262
Saint Kitts and Nevis,Noncommunicable diseases,27
South Sudan,Total,27 482
Mali,"Infectious, parasitic, neonatal and nutritional",27 931
Nepal,Noncommunicable diseases,28 508
Guinea,Total,28 747
United States of America,Total,282 510
Trinidad and Tobago,Injuries,286
Afghanistan,"Infectious, parasitic, neonatal and nutritional",29 571
Burundi,Total,29 580
Poland,"Infectious, parasitic, neonatal and nutritional",292
Timor-Leste,Injuries,296
Russian Federation,Noncommunicable diseases,296 462
Tuvalu,Injuries,3
Eritrea,Noncommunicable diseases,3 006
Central African Republic,Noncommunicable diseases,3 021
Costa Rica,Total,3 099
Singapore,Total,3 110
Uruguay,Total,3 119
New Zealand,Total,3 137
Jordan,Noncommunicable diseases,3 181
North Macedonia,Noncommunicable diseases,3 199
Lebanon,Noncommunicable diseases,3 232
Romania,Injuries,3 245
Papua New Guinea,Noncommunicable diseases,3 247
Spain,Injuries,3 304
Norway,Noncommunicable diseases,3 306
North Macedonia,Total,3 399
Uzbekistan,"Infectious, parasitic, neonatal and nutritional",3 399
Ireland,Total,3 401
Saudi Arabia,Injuries,3 425
Gambia,Total,3 441
Libya,Noncommunicable diseases,3 571
Benin,Injuries,3 579
Canada,Injuries,3 615
Guatemala,"Infectious, parasitic, neonatal and nutritional",3 679
Senegal,Injuries,3 697
Sierra Leone,Injuries,3 757
Algeria,"Infectious, parasitic, neonatal and nutritional",3 806
Belarus,Injuries,3 807
Guatemala,Injuries,3 822
Togo,Noncommunicable diseases,3 826
Bolivia (Plurinational State of),Injuries,3 837
Norway,Total,3 909
Mongolia,Noncommunicable diseases,3 954
Nicaragua,Noncommunicable diseases,3 958
Lebanon,Total,3 964
Morocco,"Infectious, parasitic, neonatal and nutritional",3 966
Mauritania,"Infectious, parasitic, neonatal and nutritional",3 992
Cameroon,"Infectious, parasitic, neonatal and nutritional",30 628
Cote d'Ivoire,"Infectious, parasitic, neonatal and nutritional",30 828
Argentina,Noncommunicable diseases,30 920
Libya,"Infectious, parasitic, neonatal and nutritional",300
Kiribati,Injuries,31
Seychelles,Injuries,31
Ethiopia,Injuries,31 007
Kazakhstan,Total,31 265
Yemen,Total,31 317
Nigeria,"Infectious, parasitic, neonatal and nutritional",312 269
Djibouti,Injuries,316
Guyana,Injuries,317
Croatia,"Infectious, parasitic, neonatal and nutritional",32
Kiribati,"Infectious, parasitic, neonatal and nutritional",32
Morocco,Total,32 276
Chad,"Infectious, parasitic, neonatal and nutritional",32 543
Republic of Korea,Noncommunicable diseases,32 678
Solomon Islands,Noncommunicable diseases,322
China,Injuries,324 232
Bahrain,Noncommunicable diseases,327
Comoros,Injuries,328
Malawi,Total,33 066
Zambia,Total,33 235
Sudan,"Infectious, parasitic, neonatal and nutritional",33 809
Qatar,Noncommunicable diseases,330
Pakistan,Total,331 181
Saint Lucia,Injuries,34
Samoa,Injuries,34
Niger,"Infectious, parasitic, neonatal and nutritional",34 101
Somalia,Total,34 196
Colombia,Total,34 297
Iraq,Total,34 557
Sri Lanka,Total,34 915
Luxembourg,Noncommunicable diseases,347
Russian Federation,Total,349 811
Indonesia,Total,349 872
South Africa,Noncommunicable diseases,35 595
Uzbekistan,Noncommunicable diseases,35 865
Latvia,Injuries,356
Slovenia,Injuries,356
Algeria,Total,36 718
New Zealand,Injuries,369
Brunei Darussalam,Injuries,37
Saint Kitts and Nevis,Total,37
Republic of Korea,Total,37 959
Cabo Verde,Noncommunicable diseases,370
Ethiopia,Noncommunicable diseases,38 510
Suriname,Total,381
Democratic Republic of the Congo,Injuries,39 015
Bangladesh,Injuries,39 573
Spain,Noncommunicable diseases,39 831
Ireland,Injuries,390
Equatorial Guinea,Injuries,391
Mongolia,"Infectious, parasitic, neonatal and nutritional",395
Monaco,Injuries,4
Nauru,Total,4
San Marino,Injuries,4
Latvia,Noncommunicable diseases,4 022
Rwanda,Injuries,4 042
Cambodia,Injuries,4 117
Honduras,Noncommunicable diseases,4 209
Israel,Noncommunicable diseases,4 210
Republic of Korea,Injuries,4 263
El Salvador,Noncommunicable diseases,4 320
Ecuador,Injuries,4 330
Paraguay,Noncommunicable diseases,4 333
Liberia,"Infectious, parasitic, neonatal and nutritional",4 373
Uzbekistan,Injuries,4 398
Latvia,Total,4 404
Papua New Guinea,"Infectious, parasitic, neonatal and nutritional",4 495
Eritrea,"Infectious, parasitic, neonatal and nutritional",4 597
Guinea,Injuries,4 614
Iran (Islamic Republic of),"Infectious, parasitic, neonatal and nutritional",4 624
Lithuania,Noncommunicable diseases,4 633
United Kingdom of Great Britain and Northern Ireland,Injuries,4 714
Lesotho,Total,4 752
Zimbabwe,Injuries,4 759
Jordan,Total,4 774
Israel,Total,4 794
Finland,Noncommunicable diseases,4 821
Somalia,Noncommunicable diseases,4 847
Guinea-Bissau,Total,4 870
Sierra Leone,Noncommunicable diseases,4 974
Maldives,Injuries,40
United States of America,Injuries,40 732
Argentina,Total,40 951
El Salvador,"Infectious, parasitic, neonatal and nutritional",406
Luxembourg,Total,409
Burkina Faso,Total,41 806
Madagascar,Total,41 845
Jordan,"Infectious, parasitic, neonatal and nutritional",417
Seychelles,Noncommunicable diseases,42
Vanuatu,"Infectious, parasitic, neonatal and nutritional",42
South Africa,"Infectious, parasitic, neonatal and nutritional",42 071
Mozambique,"Infectious, parasitic, neonatal and nutritional",42 371
Israel,Injuries,421
Denmark,Injuries,424
Jamaica,Injuries,426
Bahamas,Injuries,43
Micronesia (Federated States of),Noncommunicable diseases,43
Suriname,"Infectious, parasitic, neonatal and nutritional",43
Romania,Noncommunicable diseases,43 330
Spain,Total,43 623
Uzbekistan,Total,43 662
Panama,"Infectious, parasitic, neonatal and nutritional",433
Uganda,"Infectious, parasitic, neonatal and nutritional",44 407
Bahrain,Total,442
Malta,Noncommunicable diseases,446
Comoros,Noncommunicable diseases,447
Finland,"Infectious, parasitic, neonatal and nutritional",45
Vanuatu,Injuries,45
Indonesia,Injuries,45 123
Democratic Republic of the Congo,Noncommunicable diseases,45 269
Chad,Total,45 305
Mali,Total,45 949
Djibouti,Noncommunicable diseases,450
Tunisia,"Infectious, parasitic, neonatal and nutritional",450
Kenya,"Infectious, parasitic, neonatal and nutritional",46 060
Nepal,Total,46 687
Trinidad and Tobago,"Infectious, parasitic, neonatal and nutritional",47
Romania,Total,47 325
Ghana,Total,47 337
Malta,Total,471
Uruguay,Injuries,472
Dominica,Noncommunicable diseases,48
Bangladesh,"Infectious, parasitic, neonatal and nutritional",48 257
Russian Federation,Injuries,48 344
United Republic of Tanzania,"Infectious, parasitic, neonatal and nutritional",48 814
Gabon,Injuries,483
Spain,"Infectious, parasitic, neonatal and nutritional",489
Slovakia,"Infectious, parasitic, neonatal and nutritional",49
Brazil,Injuries,49 568
Bhutan,Injuries,490
India,Injuries,492 519
Nigeria,Total,497 736
Cook Islands,Injuries,5
Grenada,"Infectious, parasitic, neonatal and nutritional",5
Palau,Injuries,5
Russian Federation,"Infectious, parasitic, neonatal and nutritional",5 005
Libya,Total,5 006
Denmark,Noncommunicable diseases,5 098
Mongolia,Total,5 173
Malawi,Injuries,5 213
Iraq,"Infectious, parasitic, neonatal and nutritional",5 271
Kazakhstan,Injuries,5 288
Peru,Injuries,5 296
Poland,Injuries,5 300
Lithuania,Total,5 362
South Sudan,Injuries,5 390
Senegal,Noncommunicable diseases,5 442
Somalia,Injuries,5 516
Finland,Total,5 574
Rwanda,Noncommunicable diseases,5 586
Denmark,Total,5 615
Thailand,"Infectious, parasitic, neonatal and nutritional",5 659
South Sudan,Noncommunicable diseases,5 671
United States of America,"Infectious, parasitic, neonatal and nutritional",5 726
Italy,Injuries,5 760
Chad,Injuries,5 835
Cambodia,"Infectious, parasitic, neonatal and nutritional",5 841
Mexico,"Infectious, parasitic, neonatal and nutritional",5 845
Nicaragua,Total,5 855
Lao People's Democratic Republic,Noncommunicable diseases,5 948
Austria,"Infectious, parasitic, neonatal and nutritional",50
Niger,Total,50 265
Canada,"Infectious, parasitic, neonatal and nutritional",503
France,Noncommunicable diseases,51 203
Albania,Injuries,514
Norway,Injuries,515
Sao Tome and Principe,Injuries,52
Cameroon,Total,52 926
Eswatini,Injuries,521
Angola,"Infectious, parasitic, neonatal and nutritional",53 081
Poland,Noncommunicable diseases,53 628
Georgia,Injuries,530
Cabo Verde,Total,533
Marshall Islands,Total,54
China,"Infectious, parasitic, neonatal and nutritional",54 470
Paraguay,"Infectious, parasitic, neonatal and nutritional",544
Armenia,Injuries,549
Luxembourg,Injuries,55
New Zealand,"Infectious, parasitic, neonatal and nutritional",55
Mexico,Noncommunicable diseases,55 046
Cote d'Ivoire,Total,55 493
Oman,Injuries,553
Qatar,Total,553
Namibia,Injuries,556
Equatorial Guinea,Noncommunicable diseases,561
Indonesia,"Infectious, parasitic, neonatal and nutritional",57 012
Bhutan,Noncommunicable diseases,571
Kiribati,Noncommunicable diseases,58
Democratic People's Republic of Korea,Noncommunicable diseases,58 899
Lithuania,"Infectious, parasitic, neonatal and nutritional",59
Uruguay,"Infectious, parasitic, neonatal and nutritional",59
Iran (Islamic Republic of),Noncommunicable diseases,59 186
Poland,Total,59 220
United Kingdom of Great Britain and Northern Ireland,Noncommunicable diseases,59 412
Eswatini,Noncommunicable diseases,590
Italy,"Infectious, parasitic, neonatal and nutritional",593
Andorra,Injuries,6
Brunei Darussalam,"Infectious, parasitic, neonatal and nutritional",6
Dominica,"Infectious, parasitic, neonatal and nutritional",6
Luxembourg,"Infectious, parasitic, neonatal and nutritional",6
Tuvalu,Noncommunicable diseases,6
Dominican Republic,Noncommunicable diseases,6 020
Morocco,Injuries,6 066
Albania,Noncommunicable diseases,6 174
Zambia,Noncommunicable diseases,6 188
Burundi,Noncommunicable diseases,6 252
Burundi,Injuries,6 309
Paraguay,Total,6 337
Switzerland,Noncommunicable diseases,6 387
Guatemala,Noncommunicable diseases,6 411
Congo,"Infectious, parasitic, neonatal and nutritional",6 659
Germany,Injuries,6 697
Malaysia,Injuries,6 745
Albania,Total,6 767
Mali,Injuries,6 891
Benin,Noncommunicable diseases,6 922
Chad,Noncommunicable diseases,6 927
Bolivia (Plurinational State of),Noncommunicable diseases,6 942
Mauritania,Total,6 955
Yemen,Injuries,6 972
France,Total,61 117
Botswana,Injuries,610
Kyrgyzstan,"Infectious, parasitic, neonatal and nutritional",610
Guyana,Noncommunicable diseases,615
Andorra,Noncommunicable diseases,62
Antigua and Barbuda,Noncommunicable diseases,62
Pakistan,Injuries,62 399
Croatia,Injuries,623
Fiji,Noncommunicable diseases,624
Slovakia,Injuries,628
Tonga,Noncommunicable diseases,63
Solomon Islands,Total,634
Gambia,Injuries,636
Bosnia and Herzegovina,Injuries,638
Lebanon,Injuries,639
United Kingdom of Great Britain and Northern Ireland,Total,64 808
Djibouti,"Infectious, parasitic, neonatal and nutritional",643
Belize,Injuries,65
Montenegro,Injuries,65
Afghanistan,Total,65 147
Türkiye,Noncommunicable diseases,65 929
Timor-Leste,Noncommunicable diseases,651
India,"Infectious, parasitic, neonatal and nutritional",655 338
Bosnia and Herzegovina,"Infectious, parasitic, neonatal and nutritional",66
Ireland,"Infectious, parasitic, neonatal and nutritional",66
Thailand,Noncommunicable diseases,66 240
Dominica,Total,67
Greece,"Infectious, parasitic, neonatal and nutritional",67
Lithuania,Injuries,670
Andorra,Total,68
United Kingdom of Great Britain and Northern Ireland,"Infectious, parasitic, neonatal and nutritional",683
Italy,Noncommunicable diseases,69 087
Sudan,Total,69 117
Myanmar,Noncommunicable diseases,69 244
Nicaragua,"Infectious, parasitic, neonatal and nutritional",692
Timor-Leste,"Infectious, parasitic, neonatal and nutritional",692
Cook Islands,Noncommunicable diseases,7
Montenegro,"Infectious, parasitic, neonatal and nutritional",7
Saint Lucia,"Infectious, parasitic, neonatal and nutritional",7
Saint Vincent and the Grenadines,"Infectious, parasitic, neonatal and nutritional",7
Niger,Injuries,7 020
Armenia,Noncommunicable diseases,7 035
Sri Lanka,Injuries,7 050
El Salvador,Total,7 071
Kyrgyzstan,Noncommunicable diseases,7 102
Tajikistan,Noncommunicable diseases,7 132
Lao People's Democratic Republic,"Infectious, parasitic, neonatal and nutritional",7 139
Croatia,Noncommunicable diseases,7 144
Zambia,Injuries,7 156
Honduras,Total,7 173
Switzerland,Total,7 226
Egypt,"Infectious, parasitic, neonatal and nutritional",7 283
Burkina Faso,Injuries,7 291
Ghana,Injuries,7 306
Türkiye,Injuries,7 343
Madagascar,Injuries,7 438
Sweden,Noncommunicable diseases,7 473
Ecuador,Noncommunicable diseases,7 522
Slovakia,Noncommunicable diseases,7 558
Armenia,Total,7 707
Guinea,Noncommunicable diseases,7 712
Zimbabwe,Noncommunicable diseases,7 767
Haiti,"Infectious, parasitic, neonatal and nutritional",7 780
Republic of Moldova,Noncommunicable diseases,7 797
Croatia,Total,7 799
Algeria,Injuries,7 999
Democratic People's Republic of Korea,Total,70 446
Mozambique,Total,70 492
Finland,Injuries,709
Cyprus,Noncommunicable diseases,716
Gabon,Noncommunicable diseases,716
Panama,Injuries,718
Fiji,"Infectious, parasitic, neonatal and nutritional",72
Guinea-Bissau,Injuries,721
Mauritius,Noncommunicable diseases,722
Saudi Arabia,"Infectious, parasitic, neonatal and nutritional",725
Cabo Verde,"Infectious, parasitic, neonatal and nutritional",73
Comoros,"Infectious, parasitic, neonatal and nutritional",732
Antigua and Barbuda,Total,74
Kuwait,"Infectious, parasitic, neonatal and nutritional",74
Sao Tome and Principe,Noncommunicable diseases,74
Italy,Total,75 439
Türkiye,Total,75 520
Romania,"Infectious, parasitic, neonatal and nutritional",750
United Arab Emirates,Injuries,753
Switzerland,Injuries,760
Mauritius,"Infectious, parasitic, neonatal and nutritional",77
Costa Rica,Injuries,770
Albania,"Infectious, parasitic, neonatal and nutritional",78
Angola,Total,78 536
Singapore,"Infectious, parasitic, neonatal and nutritional",79
Switzerland,"Infectious, parasitic, neonatal and nutritional",79
Palau,Noncommunicable diseases,8
Slovakia,Total,8 234
