date,source,emissions
1/1/2014,total,314788.47
1/1/2015,total,318525.03
1/1/2016,total,314179.45
1/1/2017,total,316563.05
1/1/2018,total,320866.78
1/1/2019,total,330358.21
1/1/2020,total,323378.81
1/1/2021,total,325705.28
1/1/2014,net,64835.93
1/1/2015,net,74492.91
1/1/2016,net,98804.4
1/1/2017,net,73193.32
1/1/2018,net,79602.7
1/1/2019,net,115643.68
1/1/2020,net,
1/1/2021,net,
1/1/2014,energy,255079.75
1/1/2015,energy,256850.16
1/1/2016,energy,253850.16
1/1/2017,energy,252710.49
1/1/2018,energy,255231.55
1/1/2019,energy,259326.11
1/1/2020,energy,
1/1/2021,energy,
1/1/2014,industrial_processes,20235.4
1/1/2015,industrial_processes,22243.93
1/1/2016,industrial_processes,23746.04
1/1/2017,industrial_processes,24203.62
1/1/2018,industrial_processes,26697.07
1/1/2019,industrial_processes,32853.8
1/1/2020,industrial_processes,
1/1/2021,industrial_processes,
1/1/2014,agriculture,11095.67
1/1/2015,agriculture,10647.03
1/1/2016,agriculture,10711.36
1/1/2017,agriculture,11063.54
1/1/2018,agriculture,10690.29
1/1/2019,agriculture,9921.71
1/1/2020,agriculture,
1/1/2021,agriculture,
1/1/2014,waste,28377.66
1/1/2015,waste,28783.91
1/1/2016,waste,26565.41
1/1/2017,waste,28585.4
1/1/2018,waste,28247.87
1/1/2019,waste,28256.59
1/1/2020,waste,
1/1/2021,waste,
,,
,,
,,
,,
,,
,,
,,
,,
