Location,FactValueNumeric
Antigua and Barbuda,0
Australia,0
Austria,0
Bahamas,0
Bahrain,0
Barbados,0
Belgium,0
Brunei Darussalam,0
Canada,0
Chile,0
Croatia,0
Cyprus,0
Czechia,0
Denmark,0
Estonia,0
Finland,0
France,0
Germany,0
Greece,0
Hungary,0
Iceland,0
Ireland,0
Israel,0
Italy,0
Japan,0
Kuwait,0
Latvia,0
Lithuania,0
Luxembourg,0
Malta,0
Netherlands (Kingdom of the),0
New Zealand,0
Norway,0
Oman,0
Poland,0
Portugal,0
Qatar,0
Republic of Korea,0
Saudi Arabia,0
Seychelles,0
Singapore,0
Slovakia,0
Slovenia,0
Spain,0
Sweden,0
Switzerland,0
Trinidad and Tobago,0
United Arab Emirates,0
United Kingdom of Great Britain and Northern Ireland,0
United States of America,0
Uruguay,0
Ecuador,1073
Timor-Leste,1098
Botswana,1291
Azerbaijan,1297
North Macedonia,1370
Guinea-Bissau,1425
Namibia,1434
Gambia,1462
Syrian Arab Republic,1509
Dominican Republic,1636
Venezuela (Bolivarian Republic of),1762
Kyrgyzstan,1862
Mauritania,1896
Romania,11316
Guinea,11331
Cambodia,11693
Mali,11859
Bangladesh,117205
Yemen,12642
Burkina Faso,13291
Haiti,13323
Angola,13761
Ukraine,13781
Nigeria,132494
Mauritius,136.2
Chad,14127
South Africa,14390
Saint Vincent and the Grenadines,15.07
Micronesia (Federated States of),149.8
Pakistan,152925
Samoa,153.9
Kiribati,156
Cabo Verde,156.1
Somalia,16061
Cote d'Ivoire,16210
Niger,16439
Brazil,16962
Cameroon,16969
Sao Tome and Principe,165.7
Sri Lanka,17369
Uganda,18649
Ghana,18881
Tunisia,181.2
Sudan,19185
Albania,2028
Paraguay,2035
Georgia,2151
Mongolia,2420
Tajikistan,2579
Nicaragua,2624
Congo,2790
Cuba,2812
Morocco,2878
Liberia,2940
Saint Lucia,20.78
Madagascar,21345
Mexico,21639
Kenya,22283
Thailand,22836
Costa Rica,223.1
Tonga,24.34
Afghanistan,24889
Nepal,25069
United Republic of Tanzania,25323
Mozambique,26452
Grenada,27.08
Bhutan,277.7
Armenia,280
Bolivia (Plurinational State of),3159
Lesotho,3229
Kazakhstan,3417
Eritrea,3766
Gabon,328.9
Guyana,344.9
Vanuatu,358
Malaysia,4476
Honduras,4740
Bosnia and Herzegovina,4933
Colombia,4935
Peru,5345
Central African Republic,5564
Serbia,5845
Iran (Islamic Republic of),5890
Democratic People's Republic of Korea,50143
Belarus,504.8
Jordan,50.91
Myanmar,54038
Panama,546.3
Jamaica,560.1
Comoros,576.5
Belize,58.41
Fiji,589
Lao People's Democratic Republic,6054
Togo,6087
Türkiye,6679
Rwanda,6932
Viet Nam,61510
Ethiopia,63027
Turkmenistan,65.4
Algeria,667
South Sudan,7072
Papua New Guinea,7295
Sierra Leone,7334
Guatemala,7460
Burundi,7626
Senegal,7635
Democratic Republic of the Congo,71985
Suriname,72.19
China,727845
Iraq,730
Republic of Moldova,731.8
Equatorial Guinea,759.5
Montenegro,771.4
Eswatini,786.8
Maldives,8.3
Malawi,8822
India,811262
El Salvador,828.5
Solomon Islands,829.7
Argentina,848.8
Russian Federation,85329
Djibouti,873.6
Uzbekistan,9398
Zambia,9498
Benin,9648
Zimbabwe,9738
Indonesia,92898
Philippines,94441
Egypt,975.6
